ID,Machine Speed (m/s),Operator Training (0-10),Label Quality (0-10),Environment Cleanliness (0-10),Time Taken (minutes),Percentage of Failure (%),Failure Status (Binary)
132,0.39,4,2,4,18,0.92,Pass
133,0.99,8,2,9,20,0.66,Pass
134,0.68,9,2,3,21,8.77,Pass
135,0.35,4,3,8,24,0,Pass
136,0.64,9,5,6,23,10.01,Fail
137,0.7,10,4,1,20,0,Pass
138,0.73,4,3,1,26,12.42,Fail
139,0.73,8,5,8,14,0,Pass
140,0.6,3,2,5,18,0,Pass
141,0.73,10,2,3,15,2.9,Pass
142,0.72,9,4,2,11,10.69,Fail
143,0.9,7,4,5,13,9.68,Pass
144,0.88,3,6,6,29,15.95,Fail
145,0.82,1,6,2,16,15.83,Fail
146,0.37,5,6,10,23,0,Pass
147,0.67,2,4,2,10,0.21,Pass
148,0.64,10,10,8,10,9.92,Pass
149,0.79,7,4,1,28,6.07,Pass
150,0.46,5,1,5,16,5.89,Pass
151,0.62,10,0,10,27,10.83,Fail
152,0.6,4,5,5,18,14.06,Fail
153,0.98,9,5,2,21,8.14,Pass
154,0.54,10,4,2,16,11.01,Fail
155,0.84,9,8,3,19,4.94,Pass
156,0.47,8,4,4,25,2.93,Pass
157,0.79,10,9,7,23,6.71,Pass
158,0.41,5,7,5,20,0,Pass
159,0.97,5,8,4,14,0,Pass
160,0.81,3,7,0,22,9.71,Pass
161,0.42,7,3,7,22,9.2,Pass
162,0.71,2,6,9,23,11.42,Fail
163,0.42,9,6,10,10,4.17,Pass
164,0.48,7,9,2,20,0,Pass
165,0.38,5,10,7,19,2.65,Pass
166,0.99,9,9,0,29,1.43,Pass
167,0.74,7,10,1,21,11.67,Fail
168,0.38,1,5,8,10,12.95,Fail
169,0.76,9,0,10,11,7.89,Pass
170,0.61,4,0,10,17,1.58,Pass
171,0.43,8,8,10,23,8.55,Pass
172,0.41,0,6,9,15,11.26,Fail
173,0.3,6,8,2,11,6.62,Pass
174,0.33,10,5,8,21,1.71,Pass
175,0.64,6,6,6,23,7.88,Pass
176,0.41,2,8,0,17,7.3,Pass
177,0.7,7,5,2,11,3.05,Pass
178,0.38,7,9,0,18,4.41,Pass
179,0.77,1,9,10,18,3.45,Pass
180,0.43,4,5,1,21,6.05,Pass
181,0.63,1,7,1,26,6.59,Pass
182,0.96,6,0,5,23,15.88,Fail
183,0.72,5,5,6,14,9.16,Pass
184,0.63,1,10,5,13,4.78,Pass
185,0.72,3,3,3,29,11.49,Fail
186,0.39,4,0,5,27,6.33,Pass
187,0.75,6,9,9,11,0,Pass
188,0.59,5,8,10,26,7.91,Pass
189,0.69,3,5,8,12,3.28,Pass
190,0.66,4,9,0,20,0,Pass
191,0.59,8,0,3,10,4.95,Pass
192,0.89,4,5,9,11,0,Pass
193,0.97,5,1,8,29,12.68,Fail
194,0.89,9,10,10,18,2.38,Pass
195,0.88,9,1,3,28,11.6,Fail
196,0.83,9,8,7,24,6.32,Pass
197,0.92,4,9,3,21,12.71,Fail
198,0.31,10,1,3,28,7.99,Pass
199,0.58,2,5,4,16,3.43,Pass
200,0.83,5,10,1,11,8.74,Pass
201,0.69,6,1,10,18,10.79,Fail
202,0.95,7,1,3,19,8.49,Pass
203,0.43,6,6,2,17,5.48,Pass
204,0.67,1,4,4,22,16.39,Fail
205,0.72,6,5,2,12,9.23,Pass
206,0.81,2,8,7,17,0.65,Pass
207,0.32,10,1,1,29,0,Pass
208,0.43,2,10,3,16,2.18,Pass
209,0.74,0,3,1,13,4.29,Pass
210,0.87,6,6,10,28,3.69,Pass
211,0.62,7,0,7,12,2.41,Pass
212,0.46,2,8,6,20,11.56,Fail
213,0.64,3,1,2,22,6.78,Pass
214,0.38,7,10,9,27,2.53,Pass
215,0.84,1,0,1,22,0,Pass
216,0.94,1,1,6,15,0.6,Pass
217,0.88,7,1,1,24,0.18,Pass
218,0.64,9,7,4,14,8.7,Pass
219,0.64,1,1,9,29,12.17,Fail
220,0.43,7,3,5,23,0,Pass
221,0.34,8,7,10,25,14.61,Fail
222,0.3,8,9,6,18,3.06,Pass
223,0.85,10,1,5,14,1.9,Pass
224,0.89,7,7,9,28,3.57,Pass
225,0.34,10,10,0,28,10.39,Fail
226,0.99,3,4,1,25,5.01,Pass
227,0.53,9,10,3,11,2.56,Pass
228,0.47,1,5,2,24,2.73,Pass
229,0.9,4,4,1,16,9.04,Pass
230,0.41,9,5,4,12,10.67,Fail
231,0.96,7,10,0,10,0,Pass
232,0.6,4,2,4,28,3.83,Pass
233,0.4,10,4,3,11,9.08,Pass
234,0.53,4,10,4,13,3.33,Pass
235,0.52,7,5,0,20,2.97,Pass
236,0.57,7,6,6,19,0,Pass
237,0.97,3,7,4,14,6.02,Pass
238,0.46,0,5,9,24,10.88,Fail
239,0.8,8,6,2,20,0.57,Pass
240,0.78,3,3,1,29,0,Pass
241,0.47,4,3,7,27,8.27,Pass
242,0.86,1,6,8,20,4.04,Pass
243,0.84,7,10,9,12,8.99,Pass
244,0.78,5,9,8,19,12.71,Fail
245,0.69,10,6,0,21,13.04,Fail
246,0.76,7,5,5,16,0,Pass
247,0.75,1,7,3,20,0,Pass
248,0.5,0,7,3,27,9.25,Pass
249,0.88,0,9,2,17,6.24,Pass
250,0.92,1,3,1,24,17.32,Fail
251,0.46,5,5,0,23,0,Pass
252,0.71,7,8,7,15,0.29,Pass
253,0.78,3,7,2,13,15.03,Fail
254,0.91,8,7,3,15,6.85,Pass
255,1,9,2,7,17,0.68,Pass
256,0.43,3,4,2,23,2.47,Pass
257,0.93,0,2,4,24,13.02,Fail
258,0.6,2,9,6,19,7.08,Pass
259,0.34,7,9,5,13,3.04,Pass
260,0.81,3,2,5,26,9.65,Pass
261,0.56,0,4,10,25,6.08,Pass
262,0.92,8,10,2,22,7.69,Pass
263,0.96,8,1,9,23,2.7,Pass
264,0.97,1,6,5,29,9.94,Pass
265,0.85,9,3,10,19,7.27,Pass
266,0.38,4,3,0,14,9.39,Pass
267,0.76,0,1,0,29,0,Pass
268,0.45,6,10,3,16,8.1,Pass
269,0.82,4,4,6,28,1.14,Pass
270,0.62,9,8,6,22,3.74,Pass
271,0.88,1,5,2,19,9.04,Pass
272,0.79,10,7,10,20,0,Pass
273,0.94,0,10,6,26,4.03,Pass
274,0.81,2,8,4,25,0,Pass
275,0.59,5,0,6,13,6.42,Pass
276,0.69,5,10,8,25,8.97,Pass
277,0.72,4,5,7,26,3.46,Pass
278,0.69,4,10,3,14,0.35,Pass
279,0.9,7,10,2,28,10.71,Fail
280,0.66,3,1,8,29,5.88,Pass
281,0.63,8,3,9,22,2.49,Pass
282,0.96,2,5,4,18,11.43,Fail
283,0.57,6,4,0,24,6.64,Pass
284,0.63,9,7,9,22,10.74,Fail
285,0.68,1,5,0,15,12.86,Fail
286,0.92,8,6,5,17,4.49,Pass
287,0.6,5,1,1,28,3.75,Pass
288,0.32,8,1,7,23,8.68,Pass
289,0.71,5,8,1,18,13.42,Fail
290,0.89,3,1,10,25,4.82,Pass
291,0.84,1,8,1,20,5.57,Pass
292,0.36,6,2,0,10,10.78,Fail
293,0.36,6,10,3,11,10.4,Fail
294,0.93,5,10,1,26,9.52,Pass
295,0.54,8,2,1,21,0.13,Pass
296,0.84,6,3,9,18,1.1,Pass
297,0.34,8,2,3,20,11.42,Fail
298,0.55,1,2,6,12,5.18,Pass
299,0.48,6,10,5,13,0,Pass
300,0.52,9,5,2,11,1.2,Pass
301,0.66,0,10,6,24,6.83,Pass
302,0.87,4,4,5,17,5.04,Pass
303,0.93,7,3,4,22,3.7,Pass
304,0.6,10,6,10,24,6.46,Pass
305,0.71,3,2,5,28,6.4,Pass
306,0.85,5,4,2,24,3.96,Pass
307,0.71,9,4,0,24,5.22,Pass
308,0.85,10,2,2,29,2.76,Pass
309,0.58,9,3,3,10,4.1,Pass
310,0.76,2,4,10,22,9.14,Pass
311,0.38,10,9,0,23,13.25,Fail
312,0.75,5,1,6,23,2.86,Pass
313,0.67,10,4,3,28,1.21,Pass
314,0.71,10,9,8,18,5.13,Pass
315,0.88,3,1,1,17,6.81,Pass
316,0.81,5,9,5,16,1.25,Pass
317,0.33,10,1,7,12,0.38,Pass
318,0.87,2,1,0,27,12.75,Fail
319,0.76,6,6,4,10,4.43,Pass
320,0.83,2,3,7,15,3.78,Pass
321,0.95,4,5,9,28,2.21,Pass
322,0.48,6,5,10,14,6.92,Pass
323,0.88,8,0,9,25,1.61,Pass
324,0.8,5,3,2,24,9.22,Pass
325,0.58,5,3,0,11,4.96,Pass
326,0.91,0,0,5,15,8.61,Pass
327,0.81,2,7,9,16,2.52,Pass
328,0.92,10,6,0,26,4.37,Pass
329,0.43,2,4,9,25,15.35,Fail
330,0.72,10,1,0,21,9.82,Pass
331,0.47,9,9,3,25,5.73,Pass
332,0.64,9,5,3,25,6.93,Pass
333,0.95,6,4,3,18,9.02,Pass
334,0.34,0,10,3,16,4.49,Pass
335,0.84,1,5,6,17,6.18,Pass
336,0.75,0,8,10,20,8.72,Pass
337,0.53,6,7,9,12,0,Pass
338,0.96,5,0,8,27,11.54,Fail
339,0.3,5,0,5,15,8.98,Pass
340,0.54,8,5,2,20,7,Pass
341,0.69,9,7,8,29,0,Pass
342,0.91,10,9,1,17,0,Pass
343,0.69,0,4,0,29,11.27,Fail
344,0.88,2,7,0,17,4.11,Pass
345,0.43,2,6,5,21,11.54,Fail
346,0.95,8,3,9,10,3.89,Pass
347,0.3,0,0,10,19,0,Pass
348,0.53,3,0,0,22,9.82,Pass
349,0.73,8,3,8,29,0.79,Pass
350,0.69,0,5,2,21,8.44,Pass
351,0.89,7,2,7,13,2.2,Pass
352,0.39,8,7,2,22,9.94,Pass
353,0.62,8,7,3,13,6.55,Pass
354,0.57,8,9,9,29,0.8,Pass
355,0.49,2,10,9,20,15.79,Fail
356,0.39,5,8,7,24,13.93,Fail
357,0.68,5,7,9,14,16.24,Fail
358,0.47,10,0,1,24,7.07,Pass
359,0.97,10,6,5,21,0,Pass
360,0.98,2,3,7,17,16.23,Fail
361,0.85,2,6,9,26,3.22,Pass
362,0.83,4,7,3,23,6.36,Pass
363,0.96,0,1,9,10,5.46,Pass
364,0.65,5,4,10,18,12.32,Fail
365,0.74,9,6,1,18,2.29,Pass
366,0.57,9,10,4,15,0,Pass
367,0.7,1,3,0,24,7.67,Pass
368,0.66,2,0,6,14,11,Fail
369,0.72,2,8,6,16,4.68,Pass
370,0.53,2,9,8,15,4.6,Pass
371,0.82,2,8,0,20,5.5,Pass
372,0.31,9,10,10,19,10.47,Fail
373,0.84,4,1,10,25,8.17,Pass
374,0.57,5,2,9,28,0.19,Pass
375,0.46,8,5,8,27,0.8,Pass
376,0.34,2,8,0,21,16.79,Fail
377,0.38,9,7,10,13,4.23,Pass
378,0.48,8,7,10,28,3.2,Pass
379,0.43,10,7,7,23,5.51,Pass
380,0.83,10,0,4,28,1.3,Pass
381,0.77,9,4,5,20,11.12,Fail
382,0.7,8,7,1,17,0,Pass
383,0.42,10,4,0,12,0.14,Pass
384,0.51,4,6,6,15,0,Pass
385,0.93,9,4,4,27,7.92,Pass
386,0.49,10,9,10,24,2.68,Pass
387,0.79,10,3,10,11,9.4,Pass
388,0.61,8,3,4,17,0,Pass
389,0.88,5,9,4,14,0.5,Pass
390,0.62,9,3,2,29,5.64,Pass
391,0.39,2,8,5,18,1.57,Pass
392,0.86,8,10,1,19,4.68,Pass
393,0.44,4,10,1,19,8.18,Pass
394,0.64,4,8,8,16,5.49,Pass
395,0.97,2,9,3,12,10,Fail
396,0.42,8,7,6,19,3.63,Pass
397,0.5,8,2,7,18,10.32,Fail
398,0.33,6,1,3,11,7.63,Pass
399,0.99,3,0,1,24,6.04,Pass
400,0.51,0,7,7,20,3.41,Pass
401,0.6,5,7,2,13,9.4,Pass
402,0.52,9,2,7,27,6.58,Pass
403,0.7,5,6,2,13,15.43,Fail
404,0.45,7,5,7,15,1.54,Pass
405,0.53,9,4,0,24,10.33,Fail
406,0.4,1,8,10,25,6.63,Pass
407,0.96,7,4,3,10,7.67,Pass
408,0.34,6,10,9,23,9.53,Pass
409,0.45,0,10,5,21,8.77,Pass
410,0.35,4,4,9,24,4.8,Pass
411,0.9,4,9,9,24,14.03,Fail
412,0.82,10,2,9,26,7.92,Pass
413,0.44,1,7,3,24,6.69,Pass
414,0.79,6,1,0,26,8.77,Pass
415,0.46,7,7,10,27,0.91,Pass
416,0.83,6,2,1,19,9.16,Pass
417,0.37,0,10,10,17,5.03,Pass
418,0.88,4,4,8,16,10.71,Fail
419,0.51,9,7,5,18,3.25,Pass
420,0.47,6,8,4,28,4.77,Pass
421,0.76,7,0,4,26,12.41,Fail
422,0.91,2,2,3,19,13.91,Fail
423,0.37,3,1,8,27,12.35,Fail
424,0.39,6,3,6,28,11.73,Fail
425,0.33,1,8,9,26,3.53,Pass
426,0.56,6,5,3,22,14.85,Fail
427,0.94,3,8,6,14,4.33,Pass
428,0.95,7,9,8,17,8.72,Pass
429,0.98,5,4,6,24,3.4,Pass
430,0.63,8,0,9,10,5.74,Pass
431,0.94,5,8,2,10,0,Pass
432,0.52,6,8,3,23,1.38,Pass
433,0.99,5,4,8,20,13.56,Fail
434,0.78,4,10,8,28,13.55,Fail
435,0.8,3,2,1,16,8.85,Pass
436,0.75,0,1,5,13,16.72,Fail
437,0.84,9,4,1,17,1.87,Pass
438,0.43,6,7,3,15,9.28,Pass
439,0.53,7,3,1,21,4.96,Pass
440,0.91,0,10,4,25,8.44,Pass
441,0.57,2,0,1,15,10.96,Fail
442,0.38,2,8,6,29,14.88,Fail
443,0.54,0,8,10,17,0,Pass
444,0.74,8,1,7,20,13.51,Fail
445,0.73,2,8,3,25,2.74,Pass
446,0.68,7,1,8,27,13.14,Fail
447,0.49,6,3,9,24,15.43,Fail
448,0.5,10,2,4,23,9.5,Pass
449,0.71,10,5,2,21,0.72,Pass
450,1,10,2,6,28,10.97,Fail
451,0.48,6,3,6,12,0.21,Pass
452,0.5,5,7,5,20,6,Pass
453,0.46,8,3,5,10,4.23,Pass
454,0.55,3,10,6,15,0,Pass
455,0.57,1,2,0,14,1.94,Pass
456,0.51,7,9,1,14,6.7,Pass
457,0.7,8,3,6,10,6.48,Pass
458,0.88,10,9,10,23,2.56,Pass
459,0.77,7,7,7,28,4.16,Pass
460,0.84,1,8,1,18,6.91,Pass
461,0.92,8,8,3,26,10.18,Fail
462,0.83,10,6,9,10,5.59,Pass
463,0.99,3,6,4,25,10.29,Fail
464,0.52,7,8,10,21,0.68,Pass
465,0.64,9,9,9,15,2.9,Pass
466,0.93,6,3,3,11,4.49,Pass
467,0.59,2,9,2,11,0,Pass
468,0.59,4,1,6,10,9.21,Pass
469,0.52,7,10,0,25,3.09,Pass
470,0.44,5,1,5,19,2.7,Pass
471,0.48,3,0,5,17,5,Pass
472,0.9,4,8,4,27,11.61,Fail
473,0.93,10,2,7,23,17.35,Fail
474,0.61,3,6,7,12,1.76,Pass
475,0.88,3,9,8,22,0,Pass
476,0.6,4,2,3,12,11.86,Fail
477,0.38,3,2,1,29,1.95,Pass
478,0.81,8,7,7,24,12.91,Fail
479,0.59,0,3,3,21,9.23,Pass
480,0.56,8,3,4,28,9.77,Pass
481,0.35,4,6,6,22,8.83,Pass
482,0.67,4,2,3,10,12.16,Fail
483,0.99,2,2,10,29,20.44,Fail
484,0.69,1,4,10,26,7.25,Pass
485,0.61,9,10,2,23,0.95,Pass
486,0.82,5,2,1,20,4.98,Pass
487,0.43,9,6,1,29,0,Pass
488,0.3,3,8,2,19,5.13,Pass
489,0.88,7,9,9,23,0,Pass
490,0.95,8,4,8,21,0,Pass
491,0.59,1,7,0,27,13.31,Fail
492,0.98,7,9,2,26,9.16,Pass
493,0.37,1,8,5,12,13.82,Fail
494,0.67,1,1,0,25,18.89,Fail
495,0.54,8,6,6,27,3.44,Pass
496,0.5,6,1,4,27,10.75,Fail
497,0.93,8,7,8,17,8.09,Pass
498,0.32,7,7,0,29,6.1,Pass
499,0.98,9,0,9,15,9.46,Pass
500,0.9,8,6,1,10,7.25,Pass
501,0.35,2,4,5,18,5.98,Pass
502,0.94,0,8,9,25,4.39,Pass
503,0.99,5,8,1,14,3.51,Pass
504,0.76,9,3,7,12,0,Pass
505,0.44,6,7,2,28,5.19,Pass
506,0.72,7,9,8,11,9.23,Pass
507,0.96,1,1,7,16,12.48,Fail
508,0.59,9,10,4,11,0,Pass
509,0.31,10,4,4,20,6.18,Pass
510,0.9,0,4,9,27,0.55,Pass
511,0.61,5,8,10,20,0,Pass
512,0.7,4,4,7,14,8.7,Pass
513,0.35,6,8,9,13,2.85,Pass
514,0.67,3,10,5,20,0,Pass
515,0.72,9,10,6,10,0,Pass
516,0.73,1,1,2,18,8.41,Pass
517,0.82,3,10,1,27,0,Pass
518,0.59,8,9,6,18,12.57,Fail
519,0.97,3,10,4,18,6.99,Pass
520,0.59,6,1,0,19,7.51,Pass
521,0.85,1,1,5,12,12.8,Fail
522,0.35,5,7,8,25,12.21,Fail
523,0.97,7,7,2,26,4.49,Pass
524,0.33,3,3,7,15,6.89,Pass
525,0.99,2,5,2,21,13.77,Fail
526,0.59,0,0,4,19,11.79,Fail
527,0.71,9,0,7,17,13.69,Fail
528,0.73,1,5,7,25,0.36,Pass
529,0.77,3,2,10,25,2.98,Pass
530,0.36,8,2,8,27,5.99,Pass
531,0.88,2,9,4,12,7.9,Pass
532,0.38,0,3,9,13,4.34,Pass
533,0.86,5,5,4,23,8.07,Pass
534,0.63,4,3,3,28,12.66,Fail
535,0.51,4,6,8,29,2.99,Pass
536,0.64,0,3,7,25,13.63,Fail
537,0.32,4,3,9,19,5.74,Pass
538,0.91,10,2,7,14,7.36,Pass
539,0.5,8,8,4,15,17.65,Fail
540,0.91,1,0,0,15,3.88,Pass
541,0.94,1,4,0,22,4.91,Pass
542,0.78,0,10,10,28,6.89,Pass
543,0.76,5,7,2,23,0.09,Pass
544,0.98,1,7,5,24,5.94,Pass
545,0.33,1,6,8,27,2.62,Pass
546,0.89,7,1,1,27,7.64,Pass
547,0.8,10,2,4,22,6.6,Pass
548,0.5,4,8,8,14,6.63,Pass
549,0.48,4,3,3,13,9.49,Pass
550,0.34,2,10,2,16,13.51,Fail
551,0.93,1,6,4,19,4.55,Pass
552,0.47,5,8,8,12,0,Pass
553,0.46,10,2,10,20,13.61,Fail
554,0.43,5,4,8,24,1.45,Pass
555,0.76,7,3,0,26,19.56,Fail
556,1,3,4,0,20,16.58,Fail
557,0.69,1,5,8,27,7.37,Pass
558,0.48,8,3,7,17,10.14,Fail
559,0.43,7,7,10,28,4.48,Pass
560,0.65,7,5,0,22,6.17,Pass
561,0.93,7,8,7,10,4.91,Pass
562,0.61,10,9,3,18,0,Pass
563,0.56,7,7,7,13,3.29,Pass
564,0.52,7,3,3,17,14.76,Fail
565,0.89,8,8,7,10,8.45,Pass
566,0.73,0,10,4,24,12.84,Fail
567,0.9,1,5,4,23,0.06,Pass
568,0.64,5,8,8,22,0,Pass
569,0.79,7,10,5,18,6.51,Pass
570,0.52,1,2,5,23,16.55,Fail
571,0.57,2,7,3,23,10.32,Fail
572,0.58,10,4,1,10,5.07,Pass
573,0.93,3,7,7,14,2.58,Pass
574,0.49,2,8,8,25,16.67,Fail
575,0.81,10,0,0,11,7.17,Pass
576,0.95,7,9,0,11,0,Pass
577,0.91,8,9,6,11,6.46,Pass
578,0.38,8,8,0,25,9.28,Pass
579,0.41,4,9,1,23,15.49,Fail
580,0.42,0,9,8,26,6.67,Pass
581,0.33,1,0,9,11,10.95,Fail
582,0.77,9,2,10,26,12.39,Fail
583,0.94,1,5,8,13,5.94,Pass
584,0.51,9,3,1,28,0,Pass
585,0.33,1,9,4,14,0,Pass
586,0.76,4,3,8,13,9.28,Pass
587,0.34,7,7,2,24,11.42,Fail
588,0.68,3,2,8,10,0,Pass
589,0.61,7,0,0,27,8.32,Pass
590,0.6,8,3,5,15,3.69,Pass
591,0.87,8,10,7,18,1.54,Pass
592,0.69,9,7,1,21,0,Pass
593,0.97,8,7,7,10,11.23,Fail
594,0.63,8,8,6,20,1.16,Pass
595,0.35,10,10,10,29,1.07,Pass
596,0.88,3,4,4,22,0.35,Pass
597,0.45,3,6,4,19,15.84,Fail
598,0.78,5,2,0,25,13.52,Fail
599,0.33,0,2,9,19,8.55,Pass
600,0.44,1,8,5,17,0.36,Pass
601,0.6,2,10,3,20,12.85,Fail
602,0.98,0,9,7,26,6.51,Pass
603,0.44,7,0,8,14,10.98,Fail
604,0.54,10,0,10,18,6.07,Pass
605,0.4,3,6,6,22,8.46,Pass
606,0.99,1,9,6,12,6.78,Pass
607,0.68,6,9,0,13,14.29,Fail
608,0.88,7,1,7,27,1.47,Pass
609,0.86,1,2,5,22,14.54,Fail
610,0.68,5,7,8,16,7.5,Pass
611,0.3,8,8,7,21,13.22,Fail
612,0.83,3,4,5,28,13.98,Fail
613,0.3,9,5,9,29,9.85,Pass
614,0.71,5,3,1,28,6.06,Pass
615,0.56,6,3,5,14,10.26,Fail
616,0.77,9,9,9,15,0,Pass
617,0.45,2,0,1,16,10.31,Fail
618,0.41,3,4,1,25,12.12,Fail
619,0.85,0,9,1,16,11.13,Fail
620,0.34,8,6,0,29,10.09,Fail
621,0.58,1,8,4,25,7.03,Pass
622,0.77,9,0,4,18,5.4,Pass
623,0.48,7,8,6,27,3.46,Pass
624,0.38,7,2,2,19,16.93,Fail
625,0.86,1,1,8,14,11.8,Fail
626,0.38,1,5,1,16,1.24,Pass
627,0.68,3,6,8,25,13.22,Fail
628,0.35,9,1,8,20,5.47,Pass
629,0.66,1,6,6,21,13.22,Fail
630,0.36,9,7,2,17,11.77,Fail
631,0.76,9,3,10,26,8.44,Pass
632,0.86,10,2,7,27,9.1,Pass
633,0.38,4,6,2,12,7.42,Pass
634,0.99,10,5,5,14,4.77,Pass
635,0.57,1,7,10,28,1.54,Pass
636,0.86,7,9,3,16,5.72,Pass
